Emnekode	Emnenavn	Sted
TIØ4505	Anvendt økonomi og optimering, fordypningsemne	Trondheim
TIØ4500	Anvendt økonomi og optimering, fordypningsprosjekt	Trondheim
TIØ4905	Anvendt økonomi og optimering, masteroppgave	Trondheim
IDIG4003	Appearance, Perception and Measurement	Gjøvik
MMA4007	Applied AI and Control	Ålesund
TS8003	Applied Computational Methods and Engineering	Ålesund
IMT4886	Applied Computer Science Project	Gjøvik
BMAC8030	Applied Statistics for Business and Social Science Research	Trondheim
BI3084	Applied population dynamics for conservation and management	Trondheim
IDATA2306	Applikasjonsutvikling	Ålesund
IDATT2506	Applikasjonsutvikling for mobile enheter	Trondheim
BI3095	AquaHealthClub	Trondheim
FH3001	Arbeid og helse	Trondheim
HIST3225	Arbeid og kultur	Trondheim
SOS2006	Arbeid og organisasjon	Trondheim
SOS3519	Arbeid, autonomi og regulering i det norske og internasjonale samfunnet	Trondheim
SOS8532	Arbeid, autonomi og regulering i det norske og internasjonale samfunnet	Trondheim
IØ8500	Arbeid, eksponering og helse	Trondheim
PSYK4520	Arbeid, organisasjon og ledelse	Trondheim
PSY2019	Arbeids- og organisasjonspsykologi	Trondheim
PSYPRO4502	Arbeids- og organisasjonspsykologi(Kun eksamen, undervises ikke)	Trondheim
FYST2301	Arbeidsliv og arbeidshelse	Trondheim
SØK1026	Arbeidsmarkedsøkonomi	Trondheim
TIØ4186	Arbeidsmiljø	Trondheim
HFEL8001	Arbeidssted for publisering og allmennrettet formidling	Trondheim
BYGT2322	Areal og VVA infrastruktur	Trondheim
BYGT2323	Areal og VVA infrastruktur	Trondheim
BYGA2224	Arealplanlegging og digital modellering	Ålesund
BYGG2261	Arealplanlegging og digital modellering	Gjøvik
ARK3002	Arkeologisk feltmetodikk, kuratering og fortolkning	Trondheim
ARK2001	Arkeologisk kunnskapsproduksjon I	Trondheim
ARK3001	Arkeologisk kunnskapsproduksjon II	Trondheim
AAR4300	Arkitektur 1 - Introduksjon til arkitektur	Trondheim
AAR4415	Arkitektur 2 - Tektonikk	Trondheim
